"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
2,-1.0596,1,1,-1,35608.75,0.4865,1,-1,1,0,0,0,0,0,0,0
2,-0.677,0,1,1,320.6875,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.8343,1,1,1,20809,0.4613,1,-1,1,2,0,0,2,0,0,0
2,0.6049,1,-1,1,57432.5476,1.2812,1,1,1,0,1,0,0,0,0,0
2,-0.0342,0,-1,-1,328.3333,-0.9374,1,-1,-1,2,0,1,0,0,1,1
2,-0.5346,1,1,1,90516.0996,-1.1818,1,-1,-1,0,1,0,0,0,0,0
2,-1.418,0,1,-1,23464.67,-1.4251,1,-1,-1,0,2,0,0,0,0,0
2,-0.2797,1,1,-1,4517115.0877,-0.9176,1,-1,-1,0,1,0,0,0,0,0
2,-0.6803,0,1,-1,660.375,-0.4945,1,-1,-1,0,3,0,0,0,0,0
2,-0.756,1,1,1,584841.3333,-0.8738,1,-1,-1,1,0,1,1,0,0,1
2,-0.7061,0,-1,-1,597,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.1378,0,1,-1,679,NA,0,-1,NA,0,0,0,0,0,0,0
2,-1.0722,1,1,-1,75115.0588,0.5753,1,-1,1,0,1,0,0,0,0,0
2,0.5922,0,1,-1,850,NA,0,1,NA,1,0,0,1,0,0,0
2,0.3237,1,1,-1,2393,0.128,1,1,1,1,0,0,1,0,0,0
2,-0.5285,0,1,-1,2224,0.1248,1,-1,1,0,2,0,0,0,0,0
2,-1.0059,0,-1,-1,3892.5,-0.7795,1,-1,-1,2,2,0,2,0,0,0
2,-0.7976,1,1,1,82912.2424,0.0261,1,-1,1,0,1,0,0,0,0,0
2,-0.6502,1,1,1,86432.2632,-0.3849,1,-1,-1,0,0,0,0,0,0,0
2,-0.8354,0,-1,-1,1417,NA,0,-1,NA,1,0,0,1,0,0,0
2,-1.1533,0,1,-1,8210.8,-0.7894,1,-1,-1,3,2,1,0,0,2,1
2,-0.6431,0,1,1,19657.5625,NA,0,-1,NA,1,0,0,1,0,0,0
2,1.6319,0,1,-1,11578,NA,0,1,NA,0,0,0,0,0,0,0
2,-0.7132,0,1,-1,2276.3333,NA,0,-1,NA,0,0,0,0,0,0,0
2,-1.0656,0,1,-1,2543.3846,-0.979,1,-1,-1,2,0,0,1,0,1,0
2,-0.4206,0,1,-1,1304.875,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.2627,0,1,-1,692.25,NA,0,-1,NA,0,1,1,0,0,0,0
2,-1.041,0,1,1,7440.2022,NA,0,-1,NA,0,0,0,0,0,0,0
2,1.0455,0,1,-1,5892.3636,NA,0,1,NA,1,0,0,1,0,0,0
2,-0.8245,0,1,-1,6402.5,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.5691,0,1,-1,23464.67,-1.4251,1,-1,-1,0,0,0,0,0,0,0
2,-1.1067,0,1,1,15713.6667,NA,0,-1,NA,3,0,0,3,0,0,0
2,-1.1961,0,1,1,6140.2248,NA,0,-1,NA,0,0,0,0,0,0,0
2,-1.1029,0,-1,-1,485.5021,NA,0,-1,NA,1,1,0,1,0,0,0
2,0.5566,1,1,-1,70237.8818,0.8471,1,1,1,0,0,0,0,0,0,0
2,-0.5729,0,1,-1,7790.9362,-1.3232,1,-1,-1,0,2,0,0,0,0,0
2,-0.7034,0,-1,-1,21,NA,0,-1,NA,1,1,0,0,0,0,0
2,-0.7845,0,1,-1,815.3333,0.3834,1,-1,1,0,1,1,0,0,0,0
2,1.1661,0,1,-1,789,1.2877,1,1,1,1,1,1,1,1,0,0
2,-0.8552,0,-1,1,852.9231,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.6902,0,1,-1,7062,NA,0,-1,NA,0,1,1,0,0,0,0
2,-0.6644,0,-1,1,311.75,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.8502,0,1,-1,18133.0588,0.2673,1,-1,1,1,1,0,1,0,0,0
2,-0.3044,0,1,-1,18133.0588,0.2673,1,-1,1,1,1,0,1,0,0,0
2,-1.1001,1,-1,1,65852365.9275,0.2179,1,-1,1,0,0,0,0,0,0,0
2,-0.4249,0,1,-1,4722.6667,NA,0,-1,NA,1,1,0,0,0,1,0
2,-0.7423,0,-1,-1,9402.2222,0.1259,1,-1,1,0,0,0,0,0,0,0
2,2.1679,0,1,-1,914,NA,0,1,NA,0,0,0,0,0,0,0
2,1.7454,0,1,-1,1191.8462,NA,0,1,NA,0,0,0,0,0,0,0
2,0.0097,0,1,-1,2819,-0.648,1,1,-1,0,3,0,0,0,0,0
2,-1.161,0,-1,-1,255.7,NA,0,-1,NA,0,0,0,0,0,0,0
2,1.6259,0,1,-1,554.8824,NA,0,1,NA,0,1,1,0,0,0,0
2,-1.0706,0,1,-1,1120,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.8382,1,1,-1,43718,NA,0,-1,NA,1,0,0,0,0,1,0
2,-1.0103,0,1,-1,1822.3,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.6612,1,1,-1,133056.2647,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.2846,1,1,1,191061.6154,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.3192,0,1,-1,2017.4,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.3964,1,1,1,2573283.9319,0.0886,1,-1,1,0,1,0,0,0,0,0
2,-0.7225,0,1,-1,24527.2857,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.7982,0,1,-1,4373.125,-1.3331,1,-1,-1,0,0,0,0,0,0,0
2,-1.07,0,1,-1,1012.2,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.637,0,1,-1,3977,NA,0,-1,NA,0,0,0,0,0,0,0
2,0.567,1,1,1,67055.2264,-0.3948,1,1,-1,1,1,0,1,0,0,0
2,-0.0676,1,1,-1,73781.9259,0.3122,1,-1,1,0,2,1,0,0,0,1
2,-1.0771,1,1,-1,12488.7059,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.0073,0,1,-1,16557.1143,NA,0,-1,NA,0,3,0,0,0,0,0
2,-0.5554,0,1,-1,107160.75,NA,0,-1,NA,1,0,0,0,0,1,0
2,-1.0799,0,1,1,11804.3721,NA,0,-1,NA,0,1,0,0,0,0,0
2,-0.6858,1,1,-1,185877.8731,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.403,0,1,-1,512.3478,NA,0,-1,NA,1,2,1,1,0,0,1
2,-0.1241,1,1,-1,194987.1875,0.1039,1,-1,1,0,0,0,0,0,0,0
2,-0.7269,0,-1,-1,2312.3333,NA,0,-1,NA,1,1,0,1,0,0,0
2,-0.1454,0,1,-1,1063.2,NA,0,-1,NA,0,3,0,0,0,0,0
2,-1.0059,0,-1,-1,5644.6957,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.1931,0,1,-1,913,-0.0934,1,-1,-1,0,1,0,0,0,0,0
2,-0.6288,0,1,-1,203.3333,-0.705,1,-1,-1,1,0,0,1,0,0,0
2,-0.585,0,1,-1,49.2,NA,0,-1,NA,0,0,0,0,0,0,0
