"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
37,-0.4589,1,1,1,38516.3793,0.5117,1,-1,1,0,1,0,0,0,0,0
37,-0.6127,0,1,1,16509.3707,-0.2096,1,-1,-1,0,0,0,0,0,0,0
37,1.3691,1,1,1,75423.3419,1.7196,1,1,1,1,0,0,0,0,1,0
37,1.675,0,1,1,37809.8819,1.1047,1,1,1,0,0,0,0,0,0,0
37,1.2728,1,1,-1,311797.8319,1.177,1,1,1,1,2,0,0,0,1,0
37,1.3973,1,1,-1,370335.2589,1.257,1,1,1,0,1,0,0,0,0,0
37,1.5111,1,1,-1,616189.8312,NA,0,1,NA,0,1,0,0,0,0,0
37,-0.5865,0,-1,1,1066.5,-0.3071,1,-1,-1,0,0,0,0,0,0,0
36,-0.4713,0,1,-1,5606.6364,NA,0,-1,NA,0,1,0,0,0,0,0
36,1.3469,1,-1,-1,27861.6246,0.6465,1,1,1,1,0,0,1,0,0,0
36,-0.7436,1,-1,-1,27638.6061,-0.6053,1,-1,-1,0,1,0,0,0,0,0
36,1.179,1,-1,1,327280.922,0.652,1,1,1,0,1,0,0,0,0,0
36,1.6027,0,-1,1,92168.2405,1.1639,1,1,1,0,2,1,0,0,0,1
36,1.6746,0,1,1,15125.5866,1.5705,1,1,1,1,0,0,1,0,0,0
36,-0.4407,0,-1,1,12418.6667,-0.3838,1,-1,-1,0,1,0,0,0,0,0
36,-0.3829,0,-1,1,39618,-0.306,1,-1,-1,0,0,0,0,0,0,0
35,1.669,1,1,-1,199857.4143,1.6177,1,1,1,1,1,0,1,0,0,0
35,1.6747,1,1,-1,199857.4143,1.6177,1,1,1,1,1,0,0,0,0,0
35,1.6304,0,-1,1,94508.1241,1.7612,1,1,1,0,1,0,0,0,0,0
35,-0.5664,0,-1,1,47416.1226,NA,0,-1,NA,2,0,0,2,0,0,0
35,1.5795,0,1,1,11371.0683,NA,0,1,NA,2,1,0,0,0,2,0
35,1.5456,0,-1,1,55261,2.1273,1,1,1,0,0,1,0,0,0,1
35,-0.7934,0,-1,1,718,-0.9988,1,-1,-1,0,1,0,0,0,0,0
34,1.5357,0,-1,1,37818.25,1.5705,1,1,1,0,2,0,0,0,0,0
34,-0.6849,0,-1,-1,5870.0769,-0.2074,1,-1,-1,1,0,0,1,0,0,0
34,-0.4721,0,-1,1,13840.5,-0.4123,1,-1,-1,0,0,3,0,0,0,3
34,-0.6596,0,-1,1,937,0.0042,1,-1,1,1,1,0,1,0,0,0
33,1.529,1,1,1,71762.074,2.3455,1,1,1,1,1,1,0,0,1,0
33,1.5994,1,-1,-1,1230696.8101,0.5424,1,1,1,1,1,0,0,0,1,0
33,-0.4568,0,1,1,44415.0303,NA,0,-1,NA,0,1,0,0,0,0,0
33,1.2989,1,1,1,641875.1113,0.3538,1,1,1,1,1,1,1,0,0,1
33,-0.5035,0,-1,1,9031.9011,NA,0,-1,NA,0,0,1,0,0,0,1
33,-0.5729,0,-1,1,59.7937,NA,0,-1,NA,0,0,0,0,0,0,0
33,-0.8198,0,-1,-1,33969.3094,NA,0,-1,NA,0,0,1,0,0,0,1
33,-0.5475,1,1,-1,73027.1689,0.3155,1,-1,1,1,0,0,1,0,0,0
33,-0.6022,0,-1,1,638,-0.933,1,-1,-1,1,0,0,1,0,0,0
33,1.4029,0,-1,1,48933,1.6067,1,1,1,0,1,0,0,0,0,0
33,-0.4686,0,-1,1,518.2857,-0.8749,1,-1,-1,0,0,0,0,0,0,0
33,-0.4771,0,-1,1,39301.3333,-0.306,1,-1,-1,0,0,0,0,0,0,0
33,-0.6224,0,-1,1,744,0.3758,1,-1,1,0,0,0,0,0,0,0
33,-0.628,0,-1,1,24458,0.0327,1,-1,1,0,0,0,0,0,0,0
32,1.58,1,-1,-1,1230696.8101,0.5424,1,1,1,2,1,0,0,0,0,0
32,1.5861,0,-1,1,5569.7346,NA,0,1,NA,0,0,0,0,0,0,0
32,-0.5477,1,1,-1,9130722.7456,0.47,1,-1,1,1,1,0,0,0,1,0
32,-0.4541,1,1,-1,411272.6284,-0.9626,1,-1,-1,0,1,0,0,0,0,0
32,-0.713,1,1,-1,27541.438,-0.3071,1,-1,-1,0,1,0,0,0,0,0
32,1.741,0,1,-1,2859.4494,NA,0,1,NA,0,1,0,0,0,0,0
32,1.5604,0,1,1,94508.1241,1.7612,1,1,1,1,2,0,1,0,0,0
32,1.3827,1,1,-1,18362.8977,1.6209,1,1,1,1,0,0,1,0,0,0
32,1.5802,1,1,-1,447175.9463,2.3115,1,1,1,0,0,0,0,0,0,0
32,1.4062,0,1,-1,66513.0294,1.4149,1,1,1,0,0,0,0,0,0,0
32,-0.6445,1,1,1,591152.3394,-0.8738,1,-1,-1,0,1,0,0,0,0,0
32,-0.783,1,1,-1,187784.8452,-0.3049,1,-1,-1,1,0,0,1,0,0,0
32,1.6256,0,-1,1,5993.3218,NA,0,1,NA,2,2,0,1,0,1,0
32,1.4025,0,1,-1,22364.5,1.9169,1,1,1,2,0,0,1,0,1,0
32,-0.5416,0,1,1,24457.8837,0.0327,1,-1,1,0,0,0,0,0,0,0
32,-0.5422,0,-1,1,3606,0.0447,1,-1,1,0,0,0,0,0,0,0
31,1.467,0,-1,1,2233.1561,NA,0,1,NA,1,0,0,1,0,0,0
