"Democrat","Republican","NegativeAffect","PositiveAffect","MoralEmotional","retweet_count","favorite_count","has_URL","has_media","outgroup","outgroupidentity","outgroupcongress","outgrouptop","year"
0,0,0,0,0,158,508,TRUE,FALSE,,,,,2020
0,0,0,0,0,229,526,TRUE,FALSE,,,,,2020
0,0,0,0,0,91,344,TRUE,FALSE,,,,,2020
0,0,0,0,0,124,720,TRUE,FALSE,,,,,2020
0,0,0,0,0,189,921,TRUE,FALSE,,,,,2020
0,0,0,0,0,330,2421,TRUE,FALSE,,,,,2020
0,0,0,0,0,121,782,TRUE,FALSE,,,,,2020
0,0,0,0,0,119,421,TRUE,FALSE,,,,,2020
0,0,0,0,0,109,721,TRUE,FALSE,,,,,2020
0,0,0,0,0,223,1205,TRUE,FALSE,,,,,2020
0,0,0,0,0,263,1089,TRUE,FALSE,,,,,2020
0,0,0,0,0,350,2048,TRUE,FALSE,,,,,2020
0,0,0,0,0,101,393,TRUE,FALSE,,,,,2020
0,0,0,0,0,418,2463,TRUE,FALSE,,,,,2020
0,0,0,0,0,598,1633,TRUE,FALSE,,,,,2020
0,0,0,0,0,136,530,TRUE,FALSE,,,,,2020
0,0,0,0,0,302,1237,TRUE,FALSE,,,,,2020
0,0,0,0,0,93,500,TRUE,FALSE,,,,,2020
0,0,0,0,0,330,2047,TRUE,FALSE,,,,,2020
0,0,0,0,0,116,592,TRUE,FALSE,,,,,2020
0,0,0,0,0,506,3881,TRUE,FALSE,,,,,2020
0,0,0,0,0,81,434,TRUE,FALSE,,,,,2020
0,0,0,0,0,117,517,TRUE,FALSE,,,,,2020
0,0,0,0,0,200,628,TRUE,FALSE,,,,,2020
0,0,0,0,0,72,398,TRUE,FALSE,,,,,2020
0,0,0,0,0,145,466,TRUE,FALSE,,,,,2020
0,0,0,0,0,175,852,TRUE,FALSE,,,,,2020
0,0,0,0,0,115,627,TRUE,FALSE,,,,,2020
0,0,0,0,0,109,403,TRUE,FALSE,,,,,2020
0,0,0,0,0,93,352,TRUE,FALSE,,,,,2020
0,0,0,0,0,146,611,TRUE,FALSE,,,,,2020
0,0,0,0,0,164,868,TRUE,FALSE,,,,,2020
0,0,0,0,0,71,247,TRUE,FALSE,,,,,2020
0,0,0,0,0,146,786,TRUE,FALSE,,,,,2020
0,0,0,0,0,95,622,TRUE,FALSE,,,,,2020
0,0,0,0,0,152,913,TRUE,FALSE,,,,,2020
0,0,0,0,0,148,1098,TRUE,FALSE,,,,,2020
0,0,0,0,0,267,727,TRUE,FALSE,,,,,2020
0,0,0,0,0,124,452,TRUE,FALSE,,,,,2020
0,0,0,0,0,308,776,TRUE,FALSE,,,,,2020
0,0,0,0,0,160,1034,TRUE,FALSE,,,,,2020
0,0,0,0,0,96,338,TRUE,FALSE,,,,,2020
0,0,0,0,0,130,425,TRUE,FALSE,,,,,2020
0,0,0,0,0,82,414,TRUE,FALSE,,,,,2020
0,0,0,0,0,262,1565,TRUE,FALSE,,,,,2020
0,0,0,0,0,234,811,TRUE,FALSE,,,,,2020
0,0,0,0,0,45,200,TRUE,FALSE,,,,,2020
0,0,0,0,0,72,365,TRUE,FALSE,,,,,2020
0,0,0,0,0,110,572,TRUE,FALSE,,,,,2020
0,0,0,0,0,152,684,TRUE,FALSE,,,,,2020
0,0,0,0,0,98,529,TRUE,FALSE,,,,,2020
0,0,0,0,0,56,235,TRUE,FALSE,,,,,2020
0,0,0,0,0,59,273,TRUE,FALSE,,,,,2020
0,0,0,0,0,348,2214,TRUE,FALSE,,,,,2020
0,0,0,0,0,233,848,TRUE,FALSE,,,,,2020
0,0,0,0,0,238,869,TRUE,FALSE,,,,,2020
0,0,0,0,0,121,638,TRUE,FALSE,,,,,2020
